Model,Round,Feature,MeanDeltaLogLoss,StdDeltaLogLoss,BaseLogLoss,n
full_LR,R64,d_AdjEM,0.4503594175525885,0.03512508477849395,0.38751398565001294,1022
full_LR,R64,d_AdjO,0.3166485950931392,0.028265330821561577,0.38751398565001294,1022
full_LR,R64,d_AdjD,0.25916839281741955,0.017477996134854613,0.38751398565001294,1022
full_LR,R64,d_AdjT,-0.0001259021256676929,0.00016753486917911483,0.38751398565001294,1022
full_LR,R64,d_Luck,0.15275891215661289,0.013468063310733334,0.38751398565001294,1022
full_LR,R64,d_SOS-AdjEM,0.26576251958675084,0.02466008764231788,0.38751398565001294,1022
full_LR,R64,d_NCSOS-AdjEM,0.0005826860959319058,0.0008625332224859056,0.38751398565001294,1022
full_LR,R64,d_Momentum,0.04576975266229123,0.007414507243431147,0.38751398565001294,1022
full_LR,R64,d_OffEFG,0.0019906956861981038,0.0010861800346653168,0.38751398565001294,1022
full_LR,R64,d_DefEFG,-0.00012025376482946067,0.00020811204520274616,0.38751398565001294,1022
full_LR,R64,d_Seed,0.5429638617415935,0.033250505779844376,0.38751398565001294,1022
full_LR,R32,d_AdjEM,0.310697970364734,0.020508525348373424,0.3948170097818457,512
full_LR,R32,d_AdjO,0.30716579949065764,0.026621707275630593,0.3948170097818457,512
full_LR,R32,d_AdjD,0.21236809488979977,0.021925715251165094,0.3948170097818457,512
full_LR,R32,d_AdjT,0.0003945407799308557,0.0002577422629949224,0.3948170097818457,512
full_LR,R32,d_Luck,0.10755753695183205,0.01528481518718053,0.3948170097818457,512
full_LR,R32,d_SOS-AdjEM,0.19946467332326634,0.01952607718256261,0.3948170097818457,512
full_LR,R32,d_NCSOS-AdjEM,0.0010054641741681616,0.000842460237692559,0.3948170097818457,512
full_LR,R32,d_Momentum,0.06407011470654563,0.012377164444416647,0.3948170097818457,512
full_LR,R32,d_OffEFG,-0.0010524735803272751,0.0015719100474128522,0.3948170097818457,512
full_LR,R32,d_DefEFG,0.0004496842624791164,0.0002841570611449865,0.3948170097818457,512
full_LR,R32,d_Seed,0.35849734761943775,0.030128022675985945,0.3948170097818457,512
full_LR,S16,d_AdjEM,0.1753030132902729,0.02806850924952072,0.42853372270822887,256
full_LR,S16,d_AdjO,0.2627682634509298,0.03250916446009369,0.42853372270822887,256
full_LR,S16,d_AdjD,0.17074897287570714,0.024644499870092856,0.42853372270822887,256
full_LR,S16,d_AdjT,-9.194408554981104e-05,0.0004383093928681507,0.42853372270822887,256
full_LR,S16,d_Luck,0.1668115002115796,0.02766505558766546,0.42853372270822887,256
full_LR,S16,d_SOS-AdjEM,0.08561525045042631,0.013052942411105974,0.42853372270822887,256
full_LR,S16,d_NCSOS-AdjEM,-0.0004880613698272992,0.001211230408111748,0.42853372270822887,256
full_LR,S16,d_Momentum,0.07500321487464409,0.01501924844959434,0.42853372270822887,256
full_LR,S16,d_OffEFG,0.005139441937271272,0.002495034272416219,0.42853372270822887,256
full_LR,S16,d_DefEFG,0.00046036293030844445,0.0005481257000808709,0.42853372270822887,256
full_LR,S16,d_Seed,0.2900072765488376,0.03680858709103327,0.42853372270822887,256
full_LR,E8,d_AdjEM,0.11695126471313787,0.03975278276636198,0.45460548222227504,128
full_LR,E8,d_AdjO,0.17764108581223031,0.04199150365886205,0.45460548222227504,128
full_LR,E8,d_AdjD,0.18928418277358533,0.04397421317085729,0.45460548222227504,128
full_LR,E8,d_AdjT,-0.0012513145692989113,0.0006421679058822323,0.45460548222227504,128
full_LR,E8,d_Luck,0.10299615957637259,0.027874028698567456,0.45460548222227504,128
full_LR,E8,d_SOS-AdjEM,0.02121287263740988,0.01770944830854321,0.45460548222227504,128
full_LR,E8,d_NCSOS-AdjEM,-0.0008421625670547753,0.0011731133837795688,0.45460548222227504,128
full_LR,E8,d_Momentum,0.08213460471288177,0.021613234344150974,0.45460548222227504,128
full_LR,E8,d_OffEFG,0.005065452697107161,0.003587532230272694,0.45460548222227504,128
full_LR,E8,d_DefEFG,-0.0005483824500073323,0.0009556341244101501,0.45460548222227504,128
full_LR,E8,d_Seed,0.34570436949071115,0.06256660407628933,0.45460548222227504,128
full_LR,F4,d_AdjEM,0.27799721186510823,0.06459159869849102,0.41323513243695864,64
full_LR,F4,d_AdjO,0.2885412476571379,0.06945341990475629,0.41323513243695864,64
full_LR,F4,d_AdjD,0.19336365071850717,0.056407734598943306,0.41323513243695864,64
full_LR,F4,d_AdjT,0.0011518631222701822,0.0007601704840113917,0.41323513243695864,64
full_LR,F4,d_Luck,0.15002301809004934,0.04429199563310961,0.41323513243695864,64
full_LR,F4,d_SOS-AdjEM,0.0753970854701408,0.022552834812020476,0.41323513243695864,64
full_LR,F4,d_NCSOS-AdjEM,-0.0011482628528633539,0.0025163512521335345,0.41323513243695864,64
full_LR,F4,d_Momentum,0.013431387782113089,0.024407219844169225,0.41323513243695864,64
full_LR,F4,d_OffEFG,0.0006214536583489194,0.005614682290331885,0.41323513243695864,64
full_LR,F4,d_DefEFG,9.859574326035643e-05,0.001059026072614082,0.41323513243695864,64
full_LR,F4,d_Seed,0.13433442817096655,0.07666950162263263,0.41323513243695864,64
full_LR,NCG,d_AdjEM,0.24319356916049617,0.07730072208824329,0.3769700800463673,32
full_LR,NCG,d_AdjO,0.3687529010653302,0.09159925376631144,0.3769700800463673,32
full_LR,NCG,d_AdjD,0.12516160402032744,0.04970225381238396,0.3769700800463673,32
full_LR,NCG,d_AdjT,0.0020345834224336965,0.0010714442184171606,0.3769700800463673,32
full_LR,NCG,d_Luck,0.18166857690586527,0.06938799840221617,0.3769700800463673,32
full_LR,NCG,d_SOS-AdjEM,0.12590095845542487,0.0372988950271028,0.3769700800463673,32
full_LR,NCG,d_NCSOS-AdjEM,0.008538077013410271,0.004148462380280285,0.3769700800463673,32
full_LR,NCG,d_Momentum,0.004052778750462749,0.027096104318787985,0.3769700800463673,32
full_LR,NCG,d_OffEFG,-0.00032463759369583123,0.005783115446759456,0.3769700800463673,32
full_LR,NCG,d_DefEFG,-0.0007501802622639201,0.001078574922837994,0.3769700800463673,32
full_LR,NCG,d_Seed,-0.024429128085621483,0.04412021541524987,0.3769700800463673,32
xgb,R64,d_AdjEM,0.6026015410187058,0.023366217793185578,0.15999452714308773,1022
xgb,R64,d_AdjO,0.07573163112450192,0.006696575913437501,0.15999452714308773,1022
xgb,R64,d_AdjD,0.08078061274969842,0.004886340234577237,0.15999452714308773,1022
xgb,R64,d_AdjT,0.029630638228466802,0.001997723274182696,0.15999452714308773,1022
xgb,R64,d_Luck,0.16820088929934088,0.01119996864114944,0.15999452714308773,1022
xgb,R64,d_SOS-AdjEM,0.18167223941720462,0.010729883555375049,0.15999452714308773,1022
xgb,R64,d_NCSOS-AdjEM,0.03673086972147383,0.002370463446914037,0.15999452714308773,1022
xgb,R64,d_Momentum,0.08540347348593237,0.00687981450245898,0.15999452714308773,1022
xgb,R64,d_OffEFG,0.03218990471866467,0.0013691076392543275,0.15999452714308773,1022
xgb,R64,d_DefEFG,0.02186038989164118,0.0016382698647011966,0.15999452714308773,1022
xgb,R64,d_Seed,0.3434019649341558,0.02025991320166588,0.15999452714308773,1022
xgb,R32,d_AdjEM,0.5433839472436673,0.02132002403305668,0.17162986892993973,512
xgb,R32,d_AdjO,0.07177129412974516,0.007419148169225823,0.17162986892993973,512
xgb,R32,d_AdjD,0.07116421248792239,0.007006243144123013,0.17162986892993973,512
xgb,R32,d_AdjT,0.025302869741195406,0.00230921896158929,0.17162986892993973,512
xgb,R32,d_Luck,0.13412416882367187,0.013456187164466255,0.17162986892993973,512
xgb,R32,d_SOS-AdjEM,0.1837509491964637,0.014106761657854062,0.17162986892993973,512
xgb,R32,d_NCSOS-AdjEM,0.034471850791349574,0.003103609636709391,0.17162986892993973,512
xgb,R32,d_Momentum,0.09358901248370385,0.008907408374855583,0.17162986892993973,512
xgb,R32,d_OffEFG,0.034532108286530964,0.002656576863300754,0.17162986892993973,512
xgb,R32,d_DefEFG,0.025641176037126342,0.0020558020490020414,0.17162986892993973,512
xgb,R32,d_Seed,0.31173965850233754,0.021264925893801193,0.17162986892993973,512
xgb,S16,d_AdjEM,0.38465951851236924,0.036436087879683804,0.1764484706853082,256
xgb,S16,d_AdjO,0.08226309029533906,0.008642690986787945,0.1764484706853082,256
xgb,S16,d_AdjD,0.060723742369236805,0.0072386951070498315,0.1764484706853082,256
xgb,S16,d_AdjT,0.02609333217893365,0.0028492751042764873,0.1764484706853082,256
xgb,S16,d_Luck,0.19747351522836906,0.0238641243346257,0.1764484706853082,256
xgb,S16,d_SOS-AdjEM,0.12946056752742655,0.014746175097144178,0.1764484706853082,256
xgb,S16,d_NCSOS-AdjEM,0.037734401837016304,0.004635866994527774,0.1764484706853082,256
xgb,S16,d_Momentum,0.11841597320776102,0.015506700605912553,0.1764484706853082,256
xgb,S16,d_OffEFG,0.043121696172632874,0.0038187330344631246,0.1764484706853082,256
xgb,S16,d_DefEFG,0.02733354818938984,0.0031820983412560416,0.1764484706853082,256
xgb,S16,d_Seed,0.2575038249735261,0.024667942386222035,0.1764484706853082,256
xgb,E8,d_AdjEM,0.3305793762960514,0.057758742740124165,0.21961207829945018,128
xgb,E8,d_AdjO,0.06528074205783382,0.014546840782797799,0.21961207829945018,128
xgb,E8,d_AdjD,0.074599100534863,0.015976701677855344,0.21961207829945018,128
xgb,E8,d_AdjT,0.027169110149128962,0.004246478480561308,0.21961207829945018,128
xgb,E8,d_Luck,0.17140089823513177,0.029703545887252995,0.21961207829945018,128
xgb,E8,d_SOS-AdjEM,0.1105148947360546,0.017146301712093658,0.21961207829945018,128
xgb,E8,d_NCSOS-AdjEM,0.03303694485950325,0.005160601405191427,0.21961207829945018,128
xgb,E8,d_Momentum,0.1091776770058994,0.01852954512026156,0.21961207829945018,128
xgb,E8,d_OffEFG,0.049227248181528904,0.008460121871518966,0.21961207829945018,128
xgb,E8,d_DefEFG,0.027511407705472824,0.004132063444489193,0.21961207829945018,128
xgb,E8,d_Seed,0.3332161525388096,0.04724747575992575,0.21961207829945018,128
xgb,F4,d_AdjEM,0.5018476925647865,0.08209869756925202,0.16504651884614854,64
xgb,F4,d_AdjO,0.0863784726734243,0.02094780784478001,0.16504651884614854,64
xgb,F4,d_AdjD,0.08616568560478122,0.019041495580493603,0.16504651884614854,64
xgb,F4,d_AdjT,0.01584445947436917,0.003009218970734301,0.16504651884614854,64
xgb,F4,d_Luck,0.1832402842866189,0.044108418319630374,0.16504651884614854,64
xgb,F4,d_SOS-AdjEM,0.1486095837084263,0.029418019927182588,0.16504651884614854,64
xgb,F4,d_NCSOS-AdjEM,0.04307146392010589,0.009561538240576747,0.16504651884614854,64
xgb,F4,d_Momentum,0.042859687961665234,0.013940153560570512,0.16504651884614854,64
xgb,F4,d_OffEFG,0.02347426132505241,0.008758882187097094,0.16504651884614854,64
xgb,F4,d_DefEFG,0.023378341549306205,0.0071274204209580624,0.16504651884614854,64
xgb,F4,d_Seed,0.1966297353408686,0.06558755506773493,0.16504651884614854,64
xgb,NCG,d_AdjEM,0.4686262340162356,0.11087667918142681,0.16030651416775105,32
xgb,NCG,d_AdjO,0.09153601286263022,0.023826148739039585,0.16030651416775105,32
xgb,NCG,d_AdjD,0.05348442287463271,0.021071901407782718,0.16030651416775105,32
xgb,NCG,d_AdjT,0.014713452179009797,0.006772184665011535,0.16030651416775105,32
xgb,NCG,d_Luck,0.19032619511763746,0.068675791069752,0.16030651416775105,32
xgb,NCG,d_SOS-AdjEM,0.13793049360929086,0.0413293801574076,0.16030651416775105,32
xgb,NCG,d_NCSOS-AdjEM,0.049548307297663845,0.014323253619671586,0.16030651416775105,32
xgb,NCG,d_Momentum,0.05205529219805194,0.02468650108549952,0.16030651416775105,32
xgb,NCG,d_OffEFG,0.028791898096386315,0.0094607612144677,0.16030651416775105,32
xgb,NCG,d_DefEFG,0.02123114737246105,0.007812189368836822,0.16030651416775105,32
xgb,NCG,d_Seed,0.011317299568088768,0.021534936447546633,0.16030651416775105,32
rf,R64,d_AdjEM,0.17130174688675995,0.008464740275290681,0.3564865861916856,1022
rf,R64,d_AdjO,0.060353027823544105,0.004288192236344567,0.3564865861916856,1022
rf,R64,d_AdjD,0.06880121975647281,0.003877974065405976,0.3564865861916856,1022
rf,R64,d_AdjT,0.008438370543903794,0.0004213923716451343,0.3564865861916856,1022
rf,R64,d_Luck,0.0310442407233959,0.002193907950563402,0.3564865861916856,1022
rf,R64,d_SOS-AdjEM,0.06072164309525049,0.0038067708440254703,0.3564865861916856,1022
rf,R64,d_NCSOS-AdjEM,0.008601699818139826,0.0005413530729049196,0.3564865861916856,1022
rf,R64,d_Momentum,0.02403631860686529,0.0015985273757738543,0.3564865861916856,1022
rf,R64,d_OffEFG,0.010502334426399277,0.0005573085871241653,0.3564865861916856,1022
rf,R64,d_DefEFG,0.013874734906423027,0.0006194986172392257,0.3564865861916856,1022
rf,R64,d_Seed,0.03314895676232232,0.0017865905404315866,0.3564865861916856,1022
rf,R32,d_AdjEM,0.1675567117755165,0.008794116917192672,0.3737397877709641,512
rf,R32,d_AdjO,0.06653313847883983,0.0056305213313728834,0.3737397877709641,512
rf,R32,d_AdjD,0.05709803846866608,0.0049606884088952835,0.3737397877709641,512
rf,R32,d_AdjT,0.0059672774075363,0.000658749367192815,0.3737397877709641,512
rf,R32,d_Luck,0.02221527187107395,0.0031996101419581886,0.3737397877709641,512
rf,R32,d_SOS-AdjEM,0.06287346063644164,0.0059318436729189645,0.3737397877709641,512
rf,R32,d_NCSOS-AdjEM,0.007221454022978271,0.0006835711560161833,0.3737397877709641,512
rf,R32,d_Momentum,0.02708786406811497,0.003110870579250174,0.3737397877709641,512
rf,R32,d_OffEFG,0.013688143331402816,0.0007455903933552516,0.3737397877709641,512
rf,R32,d_DefEFG,0.016352856827428867,0.001216451746301215,0.3737397877709641,512
rf,R32,d_Seed,0.03180999144843051,0.002458943976955021,0.3737397877709641,512
rf,S16,d_AdjEM,0.12905012519617357,0.014364676649299602,0.41211645334834823,256
rf,S16,d_AdjO,0.06142782854922207,0.007385700479327582,0.41211645334834823,256
rf,S16,d_AdjD,0.051667083494202765,0.004621777024961623,0.41211645334834823,256
rf,S16,d_AdjT,0.008387857102975172,0.0008208891535700962,0.41211645334834823,256
rf,S16,d_Luck,0.04417339191580667,0.005507687905390145,0.41211645334834823,256
rf,S16,d_SOS-AdjEM,0.06144046464431111,0.007651384062083675,0.41211645334834823,256
rf,S16,d_NCSOS-AdjEM,0.009577875504442408,0.0008881298236090875,0.41211645334834823,256
rf,S16,d_Momentum,0.03731061767698942,0.004288409948669003,0.41211645334834823,256
rf,S16,d_OffEFG,0.013163930282020198,0.0009311033797672877,0.41211645334834823,256
rf,S16,d_DefEFG,0.01893478235366344,0.0013905277246119671,0.41211645334834823,256
