Season,Region,Round,Date,WTeam,WSeed,WScore,LTeam,LSeed,LScore
2021,south,First Round,2021-03-19,Oral Roberts,15,75,Ohio St.,2,72
2021,south,Second Round,2021-03-21,Baylor,1,76,Wisconsin,9,63
2021,south,Second Round,2021-03-21,Villanova,5,84,North Texas,13,61
2021,south,Second Round,2021-03-21,Arkansas,3,68,Texas Tech,6,66
2021,south,Second Round,2021-03-21,Oral Roberts,15,81,Florida,7,78
2021,south,Sweet 16,2021-03-27,Baylor,1,62,Villanova,5,51
2021,south,Sweet 16,2021-03-27,Arkansas,3,72,Oral Roberts,15,70
2021,south,Elite 8,2021-03-29,Baylor,1,81,Arkansas,3,72
2021,west,First Round,2021-03-20,Gonzaga,1,98,Norfolk St.,16,55
2021,west,First Round,2021-03-20,Oklahoma,8,72,Missouri,9,68
2021,west,First Round,2021-03-20,Creighton,5,63,UC Santa Barbara,12,62
2021,west,First Round,2021-03-20,Ohio,13,62,Virginia,4,58
2021,west,First Round,2021-03-20,USC,6,72,Drake,11,56
2021,west,First Round,2021-03-20,Kansas,3,93,Eastern Washington,14,84
2021,west,First Round,2021-03-20,Iowa,2,86,Grand Canyon,15,74
2021,west,Second Round,2021-03-22,Gonzaga,1,87,Oklahoma,8,71
2021,west,Second Round,2021-03-22,Creighton,5,72,Ohio,13,58
2021,west,Second Round,2021-03-22,USC,6,85,Kansas,3,51
2021,west,Second Round,2021-03-22,Oregon,7,95,Iowa,2,80
2021,west,Sweet 16,2021-03-28,Gonzaga,1,83,Creighton,5,65
2021,west,Sweet 16,2021-03-28,USC,6,82,Oregon,7,68
2021,west,Elite 8,2021-03-30,Gonzaga,1,85,USC,6,66
2021,national,Final Four,2021-04-03,Gonzaga,1,93,UCLA,11,90
2021,national,Final Four,2021-04-03,Baylor,1,78,Houston,2,59
2021,national,Championship,2021-04-05,Baylor,1,86,Gonzaga,1,70
2022,east,First Round,2022-03-17,Baylor,1,85,Norfolk St.,16,49
2022,east,First Round,2022-03-17,North Carolina,8,95,Marquette,9,63
2022,east,First Round,2022-03-17,Saint Mary's,5,82,Indiana,12,53
2022,east,First Round,2022-03-17,UCLA,4,57,Akron,13,53
2022,east,First Round,2022-03-18,Texas,6,81,Virginia Tech,11,73
2022,east,First Round,2022-03-18,Purdue,3,78,Yale,14,56
2022,east,First Round,2022-03-17,Murray St.,7,92,San Francisco,10,87
2022,east,First Round,2022-03-17,Saint Peter's,15,85,Kentucky,2,79
2022,east,Second Round,2022-03-19,North Carolina,8,93,Baylor,1,86
2022,east,Second Round,2022-03-19,UCLA,4,72,Saint Mary's,5,56
2022,east,Second Round,2022-03-20,Purdue,3,81,Texas,6,71
2022,east,Second Round,2022-03-19,Saint Peter's,15,70,Murray St.,7,60
2022,east,Sweet 16,2022-03-25,North Carolina,8,73,UCLA,4,66
2022,east,Sweet 16,2022-03-25,Saint Peter's,15,67,Purdue,3,64
2022,east,Elite 8,2022-03-27,North Carolina,8,69,Saint Peter's,15,49
2022,midwest,First Round,2022-03-17,Kansas,1,83,Texas Southern,16,56
2022,midwest,First Round,2022-03-17,Creighton,9,72,San Diego St.,8,69
2022,midwest,First Round,2022-03-17,Richmond,12,67,Iowa,5,63
2022,midwest,First Round,2022-03-17,Providence,4,66,South Dakota St.,13,57
2022,midwest,First Round,2022-03-18,Iowa St.,11,59,LSU,6,54
2022,midwest,First Round,2022-03-18,Wisconsin,3,67,Colgate,14,60
2022,midwest,First Round,2022-03-18,Miami FL,10,68,USC,7,66
2022,midwest,First Round,2022-03-18,Auburn,2,80,Jacksonville St.,15,61
2022,midwest,Second Round,2022-03-19,Kansas,1,79,Creighton,9,72
2022,midwest,Second Round,2022-03-19,Providence,4,79,Richmond,12,51
2022,midwest,Second Round,2022-03-20,Iowa St.,11,54,Wisconsin,3,49
2022,midwest,Second Round,2022-03-20,Miami FL,10,79,Auburn,2,61
2022,midwest,Sweet 16,2022-03-25,Kansas,1,66,Providence,4,61
2022,midwest,Sweet 16,2022-03-25,Miami FL,10,70,Iowa St.,11,56
2022,midwest,Elite 8,2022-03-27,Kansas,1,76,Miami FL,10,50
2022,south,First Round,2022-03-18,Arizona,1,87,Wright St.,16,70
2022,south,First Round,2022-03-18,TCU,9,69,Seton Hall,8,42
2022,south,First Round,2022-03-18,Houston,5,82,UAB,12,68
2022,south,First Round,2022-03-18,Illinois,4,54,Chattanooga,13,53
2022,south,First Round,2022-03-17,Michigan,11,75,Colorado St.,6,63
2022,south,First Round,2022-03-17,Tennessee,3,88,Longwood,14,56
2022,south,First Round,2022-03-18,Ohio St.,7,54,Loyola Chicago,10,41
2022,south,First Round,2022-03-18,Villanova,2,80,Delaware,15,60
2022,south,Second Round,2022-03-20,Arizona,1,85,TCU,9,80
2022,south,Second Round,2022-03-20,Houston,5,68,Illinois,4,53
2022,south,Second Round,2022-03-19,Michigan,11,76,Tennessee,3,68
2022,south,Second Round,2022-03-20,Villanova,2,71,Ohio St.,7,61
2022,south,Sweet 16,2022-03-24,Houston,5,72,Arizona,1,60
2022,south,Sweet 16,2022-03-24,Villanova,2,63,Michigan,11,55
2022,south,Elite 8,2022-03-26,Villanova,2,50,Houston,5,44
2022,west,First Round,2022-03-17,Gonzaga,1,93,Georgia St.,16,72
2022,west,First Round,2022-03-17,Memphis,9,64,Boise St.,8,53
2022,west,First Round,2022-03-17,New Mexico St.,12,70,Connecticut,5,63
2022,west,First Round,2022-03-17,Arkansas,4,75,Vermont,13,71
2022,west,First Round,2022-03-18,Notre Dame,11,78,Alabama,6,64
2022,west,First Round,2022-03-18,Texas Tech,3,97,Montana St.,14,62
2022,west,First Round,2022-03-18,Michigan St.,7,74,Davidson,10,73
2022,west,First Round,2022-03-18,Duke,2,78,Cal St. Fullerton,15,61
2022,west,Second Round,2022-03-19,Gonzaga,1,82,Memphis,9,78
2022,west,Second Round,2022-03-19,Arkansas,4,53,New Mexico St.,12,48
2022,west,Second Round,2022-03-20,Texas Tech,3,59,Notre Dame,11,53
2022,west,Second Round,2022-03-20,Duke,2,85,Michigan St.,7,76
2022,west,Sweet 16,2022-03-24,Arkansas,4,74,Gonzaga,1,68
2022,west,Sweet 16,2022-03-24,Duke,2,78,Texas Tech,3,73
2022,west,Elite 8,2022-03-26,Duke,2,78,Arkansas,4,69
2022,national,Final Four,2022-04-02,North Carolina,8,81,Duke,2,77
2022,national,Final Four,2022-04-02,Kansas,1,81,Villanova,2,65
2022,national,Championship,2022-04-04,Kansas,1,72,North Carolina,8,69
2023,east,First Round,2023-03-17,Fairleigh Dickinson,16,63,Purdue,1,58
2023,east,First Round,2023-03-17,Florida Atlantic,9,66,Memphis,8,65
2023,east,First Round,2023-03-16,Duke,5,74,Oral Roberts,12,51
2023,east,First Round,2023-03-16,Tennessee,4,58,Louisiana,13,55
2023,east,First Round,2023-03-17,Kentucky,6,61,Providence,11,53
2023,east,First Round,2023-03-17,Kansas St.,3,77,Montana St.,14,65
2023,east,First Round,2023-03-17,Michigan St.,7,72,USC,10,62
2023,east,First Round,2023-03-17,Marquette,2,78,Vermont,15,61
2023,east,Second Round,2023-03-19,Florida Atlantic,9,78,Fairleigh Dickinson,16,70
2023,east,Second Round,2023-03-18,Tennessee,4,65,Duke,5,52
2023,east,Second Round,2023-03-19,Kansas St.,3,75,Kentucky,6,69
2023,east,Second Round,2023-03-19,Michigan St.,7,69,Marquette,2,60
2023,east,Sweet 16,2023-03-23,Florida Atlantic,9,62,Tennessee,4,55
2023,east,Sweet 16,2023-03-23,Kansas St.,3,98,Michigan St.,7,93
2023,east,Elite 8,2023-03-25,Florida Atlantic,9,79,Kansas St.,3,76
2023,midwest,First Round,2023-03-16,Houston,1,63,Northern Kentucky,16,52
2023,midwest,First Round,2023-03-16,Auburn,9,83,Iowa,8,75
2023,midwest,First Round,2023-03-17,Miami FL,5,63,Drake,12,56
2023,midwest,First Round,2023-03-17,Indiana,4,71,Kent St.,13,60
2023,midwest,First Round,2023-03-17,Pittsburgh,11,59,Iowa St.,6,41
2023,midwest,First Round,2023-03-17,Xavier,3,72,Kennesaw St.,14,67
2023,midwest,First Round,2023-03-16,Penn St.,10,76,Texas A&M,7,59
2023,midwest,First Round,2023-03-16,Texas,2,81,Colgate,15,61
2023,midwest,Second Round,2023-03-18,Houston,1,81,Auburn,9,64
2023,midwest,Second Round,2023-03-19,Miami FL,5,85,Indiana,4,69
2023,midwest,Second Round,2023-03-19,Xavier,3,84,Pittsburgh,11,73
2023,midwest,Second Round,2023-03-18,Texas,2,71,Penn St.,10,66
2023,midwest,Sweet 16,2023-03-24,Miami FL,5,89,Houston,1,75
2023,midwest,Sweet 16,2023-03-24,Texas,2,83,Xavier,3,71
2023,midwest,Elite 8,2023-03-26,Miami FL,5,88,Texas,2,81
2023,south,First Round,2023-03-16,Alabama,1,96,Texas A&M Corpus Chris,16,75
2023,south,First Round,2023-03-16,Maryland,8,67,West Virginia,9,65
2023,south,First Round,2023-03-16,San Diego St.,5,63,College of Charleston,12,57
2023,south,First Round,2023-03-16,Furman,13,68,Virginia,4,67
2023,south,First Round,2023-03-17,Creighton,6,72,N.C. St.,11,63
2023,south,First Round,2023-03-17,Baylor,3,74,UC Santa Barbara,14,56
2023,south,First Round,2023-03-16,Missouri,7,76,Utah St.,10,65
2023,south,First Round,2023-03-16,Princeton,15,59,Arizona,2,55
2023,south,Second Round,2023-03-18,Alabama,1,73,Maryland,8,51
2023,south,Second Round,2023-03-18,San Diego St.,5,75,Furman,13,52
2023,south,Second Round,2023-03-19,Creighton,6,85,Baylor,3,76
2023,south,Second Round,2023-03-18,Princeton,15,78,Missouri,7,63
2023,south,Sweet 16,2023-03-24,San Diego St.,5,71,Alabama,1,64
2023,south,Sweet 16,2023-03-24,Creighton,6,86,Princeton,15,75
2023,south,Elite 8,2023-03-26,San Diego St.,5,57,Creighton,6,56
2023,west,First Round,2023-03-16,Kansas,1,96,Howard,16,68
2023,west,First Round,2023-03-16,Arkansas,8,73,Illinois,9,63
2023,west,First Round,2023-03-17,Saint Mary's,5,63,VCU,12,51
2023,west,First Round,2023-03-17,Connecticut,4,87,Iona,13,63
2023,west,First Round,2023-03-17,TCU,6,72,Arizona St.,11,70
2023,west,First Round,2023-03-17,Gonzaga,3,82,Grand Canyon,14,70
2023,west,First Round,2023-03-16,Northwestern,7,75,Boise St.,10,67
2023,west,First Round,2023-03-16,UCLA,2,86,UNC Asheville,15,53
2023,west,Second Round,2023-03-18,Arkansas,8,72,Kansas,1,71
2023,west,Second Round,2023-03-19,Connecticut,4,70,Saint Mary's,5,55
2023,west,Second Round,2023-03-19,Gonzaga,3,84,TCU,6,81
2023,west,Second Round,2023-03-18,UCLA,2,68,Northwestern,7,63
2023,west,Sweet 16,2023-03-23,Connecticut,4,88,Arkansas,8,65
2023,west,Sweet 16,2023-03-23,Gonzaga,3,79,UCLA,2,76
2023,west,Elite 8,2023-03-25,Connecticut,4,82,Gonzaga,3,54
2023,national,Final Four,2023-04-01,San Diego St.,5,72,Florida Atlantic,9,71
2023,national,Final Four,2023-04-01,Connecticut,4,72,Miami FL,5,59
2023,national,Championship,2023-04-03,Connecticut,4,76,San Diego St.,5,59
2024,east,First Round,2024-03-22,Connecticut,1,91,Stetson,16,52
2024,east,First Round,2024-03-22,Northwestern,9,77,Florida Atlantic,8,65
2024,east,First Round,2024-03-22,San Diego St.,5,69,UAB,12,65
2024,east,First Round,2024-03-22,Yale,13,78,Auburn,4,76
2024,east,First Round,2024-03-21,Duquesne,11,71,BYU,6,67
2024,east,First Round,2024-03-21,Illinois,3,85,Morehead St.,14,69
2024,east,First Round,2024-03-21,Washington St.,7,66,Drake,10,61
2024,east,First Round,2024-03-21,Iowa St.,2,82,South Dakota St.,15,65
2024,east,Second Round,2024-03-24,Connecticut,1,75,Northwestern,9,58
2024,east,Second Round,2024-03-24,San Diego St.,5,85,Yale,13,57
2024,east,Second Round,2024-03-23,Illinois,3,89,Duquesne,11,63
2024,east,Second Round,2024-03-23,Iowa St.,2,67,Washington St.,7,56
2024,east,Sweet 16,2024-03-28,Connecticut,1,82,San Diego St.,5,52
2024,east,Sweet 16,2024-03-28,Illinois,3,72,Iowa St.,2,69
2024,east,Elite 8,2024-03-30,Connecticut,1,77,Illinois,3,52
2024,midwest,First Round,2024-03-22,Purdue,1,78,Grambling St.,16,50
2024,midwest,First Round,2024-03-22,Utah St.,8,88,TCU,9,72
2024,midwest,First Round,2024-03-21,Gonzaga,5,86,McNeese,12,65
2024,midwest,First Round,2024-03-21,Kansas,4,93,Samford,13,89
2024,midwest,First Round,2024-03-21,Oregon,11,87,South Carolina,6,73
2024,midwest,First Round,2024-03-21,Creighton,3,77,Akron,14,60
2024,midwest,First Round,2024-03-21,Texas,7,56,Colorado St.,10,44
2024,midwest,First Round,2024-03-21,Tennessee,2,83,Saint Peter's,15,49
2024,midwest,Second Round,2024-03-24,Purdue,1,106,Utah St.,8,67
2024,midwest,Second Round,2024-03-23,Gonzaga,5,89,Kansas,4,68
2024,midwest,Second Round,2024-03-23,Creighton,3,86,Oregon,11,73
2024,midwest,Second Round,2024-03-23,Tennessee,2,62,Texas,7,58
2024,midwest,Sweet 16,2024-03-29,Purdue,1,80,Gonzaga,5,68
2024,midwest,Sweet 16,2024-03-29,Tennessee,2,82,Creighton,3,75
2024,midwest,Elite 8,2024-03-31,Purdue,1,72,Tennessee,2,66
2024,south,First Round,2024-03-22,Houston,1,86,Longwood,16,46
2024,south,First Round,2024-03-22,Texas A&M,9,98,Nebraska,8,83
2024,south,First Round,2024-03-22,James Madison,12,72,Wisconsin,5,61
2024,south,First Round,2024-03-22,Duke,4,64,Vermont,13,47
2024,south,First Round,2024-03-21,N.C. St.,11,80,Texas Tech,6,67
2024,south,First Round,2024-03-21,Oakland,14,80,Kentucky,3,76
2024,south,First Round,2024-03-22,Colorado,10,102,Florida,7,100
2024,south,First Round,2024-03-22,Marquette,2,87,Western Kentucky,15,69
2024,south,Second Round,2024-03-24,Houston,1,100,Texas A&M,9,95
2024,south,Second Round,2024-03-24,Duke,4,93,James Madison,12,55
2024,south,Second Round,2024-03-23,N.C. St.,11,79,Oakland,14,73
2024,south,Second Round,2024-03-24,Marquette,2,81,Colorado,10,77
2024,south,Sweet 16,2024-03-29,Duke,4,54,Houston,1,51
2024,south,Sweet 16,2024-03-29,N.C. St.,11,67,Marquette,2,58
2024,south,Elite 8,2024-03-31,N.C. St.,11,76,Duke,4,64
2024,west,First Round,2024-03-21,North Carolina,1,90,Wagner,16,62
2024,west,First Round,2024-03-21,Michigan St.,9,69,Mississippi St.,8,51
2024,west,First Round,2024-03-22,Grand Canyon,12,75,Saint Mary's,5,66
2024,west,First Round,2024-03-22,Alabama,4,109,College of Charleston,13,96
2024,west,First Round,2024-03-22,Clemson,6,77,New Mexico,11,56
2024,west,First Round,2024-03-22,Baylor,3,92,Colgate,14,67
2024,west,First Round,2024-03-21,Dayton,7,63,Nevada,10,60
2024,west,First Round,2024-03-21,Arizona,2,85,Long Beach St.,15,65
2024,west,Second Round,2024-03-23,North Carolina,1,85,Michigan St.,9,69
2024,west,Second Round,2024-03-24,Alabama,4,72,Grand Canyon,12,61
2024,west,Second Round,2024-03-24,Clemson,6,72,Baylor,3,64
2024,west,Second Round,2024-03-23,Arizona,2,78,Dayton,7,68
2024,west,Sweet 16,2024-03-28,Alabama,4,89,North Carolina,1,87
2024,west,Sweet 16,2024-03-28,Clemson,6,77,Arizona,2,72
2024,west,Elite 8,2024-03-30,Alabama,4,89,Clemson,6,82
2024,national,Final Four,2024-04-06,Connecticut,1,86,Alabama,4,72
2024,national,Final Four,2024-04-06,Purdue,1,63,N.C. St.,11,50
2024,national,Championship,2024-04-08,Connecticut,1,75,Purdue,1,60
2025,east,First Round,2025-03-21,Duke,1,93,Mount St. Mary's,16,49
2025,east,First Round,2025-03-21,Baylor,9,75,Mississippi St.,8,72
2025,east,First Round,2025-03-21,Oregon,5,81,Liberty,12,52
2025,east,First Round,2025-03-21,Arizona,4,93,Akron,13,65
2025,east,First Round,2025-03-20,BYU,6,80,VCU,11,71
2025,east,First Round,2025-03-20,Wisconsin,3,85,Montana,14,66
2025,east,First Round,2025-03-21,Saint Mary's,7,59,Vanderbilt,10,56
2025,east,First Round,2025-03-21,Alabama,2,90,Robert Morris,15,81
2025,east,Second Round,2025-03-23,Duke,1,89,Baylor,9,66
2025,east,Second Round,2025-03-23,Arizona,4,87,Oregon,5,83
2025,east,Second Round,2025-03-22,BYU,6,91,Wisconsin,3,89
2025,east,Second Round,2025-03-23,Alabama,2,80,Saint Mary's,7,66
2025,east,Sweet 16,2025-03-27,Duke,1,100,Arizona,4,93
2025,east,Sweet 16,2025-03-27,Alabama,2,113,BYU,6,88
2025,east,Elite 8,2025-03-29,Duke,1,85,Alabama,2,65
2025,midwest,First Round,2025-03-20,Houston,1,78,SIU Edwardsville,16,40
2025,midwest,First Round,2025-03-20,Gonzaga,8,89,Georgia,9,68
2025,midwest,First Round,2025-03-20,McNeese,12,69,Clemson,5,67
2025,midwest,First Round,2025-03-20,Purdue,4,75,High Point,13,63
2025,midwest,First Round,2025-03-21,Illinois,6,86,Xavier,11,73
2025,midwest,First Round,2025-03-21,Kentucky,3,76,Troy,14,57
2025,midwest,First Round,2025-03-20,UCLA,7,72,Utah St.,10,47
2025,midwest,First Round,2025-03-20,Tennessee,2,77,Wofford,15,62
2025,midwest,Second Round,2025-03-22,Houston,1,81,Gonzaga,8,76
2025,midwest,Second Round,2025-03-22,Purdue,4,76,McNeese,12,62
2025,midwest,Second Round,2025-03-23,Kentucky,3,84,Illinois,6,75
2025,midwest,Second Round,2025-03-22,Tennessee,2,67,UCLA,7,58
2025,midwest,Sweet 16,2025-03-28,Houston,1,62,Purdue,4,60
2025,midwest,Sweet 16,2025-03-28,Tennessee,2,78,Kentucky,3,65
2025,midwest,Elite 8,2025-03-30,Houston,1,69,Tennessee,2,50
2025,south,First Round,2025-03-20,Auburn,1,83,Alabama St.,16,63
2025,south,First Round,2025-03-20,Creighton,9,89,Louisville,8,75
2025,south,First Round,2025-03-20,Michigan,5,68,UC San Diego,12,65
2025,south,First Round,2025-03-20,Texas A&M,4,80,Yale,13,71
2025,south,First Round,2025-03-21,Mississippi,6,71,North Carolina,11,64
2025,south,First Round,2025-03-21,Iowa St.,3,82,Lipscomb,14,55
2025,south,First Round,2025-03-21,New Mexico,10,75,Marquette,7,66
2025,south,First Round,2025-03-21,Michigan St.,2,87,Bryant,15,62
2025,south,Second Round,2025-03-22,Auburn,1,82,Creighton,9,70
2025,south,Second Round,2025-03-22,Michigan,5,91,Texas A&M,4,79
2025,south,Second Round,2025-03-23,Mississippi,6,91,Iowa St.,3,78
2025,south,Second Round,2025-03-23,Michigan St.,2,71,New Mexico,10,63
2025,south,Sweet 16,2025-03-28,Auburn,1,78,Michigan,5,65
2025,south,Sweet 16,2025-03-28,Michigan St.,2,73,Mississippi,6,70
2025,south,Elite 8,2025-03-30,Auburn,1,70,Michigan St.,2,64
2025,west,First Round,2025-03-21,Florida,1,95,Norfolk St.,16,69
2025,west,First Round,2025-03-21,Connecticut,8,67,Oklahoma,9,59
2025,west,First Round,2025-03-21,Colorado St.,12,78,Memphis,5,70
2025,west,First Round,2025-03-21,Maryland,4,81,Grand Canyon,13,49
2025,west,First Round,2025-03-20,Drake,11,67,Missouri,6,57
2025,west,First Round,2025-03-20,Texas Tech,3,82,UNC Wilmington,14,72
2025,west,First Round,2025-03-20,Arkansas,10,79,Kansas,7,72
2025,west,First Round,2025-03-20,St. John's,2,83,Nebraska Omaha,15,53
2025,west,Second Round,2025-03-23,Florida,1,77,Connecticut,8,75
2025,west,Second Round,2025-03-23,Maryland,4,72,Colorado St.,12,71
2025,west,Second Round,2025-03-22,Texas Tech,3,77,Drake,11,64
2025,west,Second Round,2025-03-22,Arkansas,10,75,St. John's,2,66
2025,west,Sweet 16,2025-03-27,Florida,1,87,Maryland,4,71
2025,west,Sweet 16,2025-03-27,Texas Tech,3,85,Arkansas,10,83
2025,west,Elite 8,2025-03-29,Florida,1,84,Texas Tech,3,79
2025,national,Final Four,2025-04-05,Houston,1,70,Duke,1,67
2025,national,Final Four,2025-04-05,Florida,1,79,Auburn,1,73
2025,national,Championship,2025-04-07,Florida,1,65,Houston,1,63
2026,east,First Round,2026-03-19,Duke,1,71,Siena,16,65
2026,east,First Round,2026-03-19,TCU,9,66,Ohio St.,8,64
2026,east,First Round,2026-03-20,St. John's,5,79,Northern Iowa,12,53
2026,east,First Round,2026-03-20,Kansas,4,68,Cal Baptist,13,60
2026,east,First Round,2026-03-19,Louisville,6,83,South Florida,11,79
2026,east,First Round,2026-03-19,Michigan St.,3,92,North Dakota St.,14,67
2026,east,First Round,2026-03-20,UCLA,7,75,UCF,10,71
2026,east,First Round,2026-03-20,Connecticut,2,82,Furman,15,71
2026,east,Second Round,2026-03-21,Duke,1,81,TCU,9,58
2026,east,Second Round,2026-03-22,St. John's,5,67,Kansas,4,65
2026,east,Second Round,2026-03-21,Michigan St.,3,77,Louisville,6,69
2026,east,Second Round,2026-03-22,Connecticut,2,73,UCLA,7,57
2026,east,Sweet 16,2026-03-27,Duke,1,80,St. John's,5,75
2026,east,Sweet 16,2026-03-27,Connecticut,2,67,Michigan St.,3,63
2026,east,Elite 8,2026-03-29,Connecticut,2,73,Duke,1,72
2026,midwest,First Round,2026-03-19,Michigan,1,101,Howard,16,80
2026,midwest,First Round,2026-03-19,Saint Louis,9,102,Georgia,8,77
2026,midwest,First Round,2026-03-20,Texas Tech,5,91,Akron,12,71
2026,midwest,First Round,2026-03-20,Alabama,4,90,Hofstra,13,70
2026,midwest,First Round,2026-03-20,Tennessee,6,78,Miami OH,11,56
2026,midwest,First Round,2026-03-20,Virginia,3,82,Wright St.,14,73
2026,midwest,First Round,2026-03-20,Kentucky,7,89,Santa Clara,10,84
2026,midwest,First Round,2026-03-20,Iowa St.,2,108,Tennessee St.,15,74
2026,midwest,Second Round,2026-03-21,Michigan,1,95,Saint Louis,9,72
2026,midwest,Second Round,2026-03-22,Alabama,4,90,Texas Tech,5,65
2026,midwest,Second Round,2026-03-22,Tennessee,6,79,Virginia,3,72
2026,midwest,Second Round,2026-03-22,Iowa St.,2,82,Kentucky,7,63
2026,midwest,Sweet 16,2026-03-27,Michigan,1,90,Alabama,4,77
2026,midwest,Sweet 16,2026-03-27,Tennessee,6,76,Iowa St.,2,62
2026,midwest,Elite 8,2026-03-29,Michigan,1,95,Tennessee,6,62
2026,south,First Round,2026-03-20,Florida,1,114,Prairie View A&M,16,55
2026,south,First Round,2026-03-20,Iowa,9,67,Clemson,8,61
2026,south,First Round,2026-03-19,Vanderbilt,5,78,McNeese,12,68
2026,south,First Round,2026-03-19,Nebraska,4,76,Troy,13,47
2026,south,First Round,2026-03-19,VCU,11,82,North Carolina,6,78
2026,south,First Round,2026-03-19,Illinois,3,105,Penn,14,70
2026,south,First Round,2026-03-19,Texas A&M,10,63,Saint Mary's,7,50
2026,south,First Round,2026-03-19,Houston,2,78,Idaho,15,47
2026,south,Second Round,2026-03-22,Iowa,9,73,Florida,1,72
2026,south,Second Round,2026-03-21,Nebraska,4,74,Vanderbilt,5,72
2026,south,Second Round,2026-03-21,Illinois,3,76,VCU,11,55
2026,south,Second Round,2026-03-21,Houston,2,88,Texas A&M,10,57
2026,south,Sweet 16,2026-03-26,Iowa,9,77,Nebraska,4,71
2026,south,Sweet 16,2026-03-26,Illinois,3,65,Houston,2,55
2026,south,Elite 8,2026-03-28,Illinois,3,71,Iowa,9,59
2026,west,First Round,2026-03-20,Arizona,1,92,LIU,16,58
2026,west,First Round,2026-03-20,Utah St.,9,86,Villanova,8,76
2026,west,First Round,2026-03-19,High Point,12,83,Wisconsin,5,82
2026,west,First Round,2026-03-19,Arkansas,4,97,Hawaii,13,78
2026,west,First Round,2026-03-19,Texas,11,79,BYU,6,71
2026,west,First Round,2026-03-19,Gonzaga,3,73,Kennesaw St.,14,64
2026,west,First Round,2026-03-20,Miami FL,7,80,Missouri,10,66
2026,west,First Round,2026-03-20,Purdue,2,104,Queens,15,71
2026,west,Second Round,2026-03-22,Arizona,1,78,Utah St.,9,66
2026,west,Second Round,2026-03-21,Arkansas,4,94,High Point,12,88
2026,west,Second Round,2026-03-21,Texas,11,74,Gonzaga,3,68
2026,west,Second Round,2026-03-22,Purdue,2,79,Miami FL,7,69
2026,west,Sweet 16,2026-03-26,Arizona,1,109,Arkansas,4,88
2026,west,Sweet 16,2026-03-26,Purdue,2,79,Texas,11,77
2026,west,Elite 8,2026-03-28,Arizona,1,79,Purdue,2,64
2026,national,Final Four,2026-04-04,Connecticut,2,71,Illinois,3,62
2026,national,Final Four,2026-04-04,Michigan,1,91,Arizona,1,73
2026,national,Championship,2026-04-06,Michigan,1,69,Connecticut,2,63
